id,slug,author,description,source,created,updated
267,,Aswath Damodaran,Domadoran's website,http://pages.stern.nyu.edu/~adamodar/,2020-07-22 23:06:46.780678+00:00,2020-07-22
268,,Robert Shiller,Shiller's open courses,http://www.econ.yale.edu/~shiller/,2020-07-22 23:06:46.815585+00:00,2020-07-22
269,,Howard Marks,Memo's written by Marks,https://www.oaktreecapital.com/insights/howard-marks-memos,2020-07-22 23:06:46.845505+00:00,2020-07-22
270,,Berkshire Hathaway,Berkshire's shareholder letters,https://www.berkshirehathaway.com/letters/letters.html,2020-07-22 23:06:46.877419+00:00,2020-07-22
271,,FRED,St. Louis Federal Reserve Bank Data,https://fred.stlouisfed.org/,2020-07-22 23:06:46.910333+00:00,2020-07-22
272,,Oshaughnessy Asset Management,OSAM's blog and free research,https://www.osam.com/Commentary,2020-07-22 23:06:46.936262+00:00,2020-07-22
273,,U.S Government,Historical Outstanding Debt,https://treasurydirect.gov/govt/reports/pd/histdebt/histdebt_histo5.htm,2020-07-22 23:06:46.959201+00:00,2020-07-22
274,,Al Sweigart,"Free Python Tutorial for the book ""Automate The Boring Stuff With Python""",https://automatetheboringstuff.com/,2020-07-22 23:06:46.992114+00:00,2020-07-22
275,,W3Schools,Amazing source to learn how to code,https://www.w3schools.com/,2020-07-22 23:06:47.023030+00:00,2020-07-22
276,,Bill Gates,Gates' Book Blog,https://www.gatesnotes.com/Books,2020-07-22 23:06:47.045969+00:00,2020-07-22
277,,Khan Academy,The best educator to ever exists,https://www.khanacademy.org/,2020-07-22 23:06:47.070902+00:00,2020-07-22
278,,Alpha Architect,Alpha Architect's blog &Research,https://alphaarchitect.com/blog/,2020-07-22 23:06:47.093841+00:00,2020-07-22
279,,U.S Government,U.S Government's Financial Report,https://fiscal.treasury.gov/reports-statements/financial-report/,2020-07-22 23:06:47.116779+00:00,2020-07-22
280,,John Geanakoplos,John's Financial Theory Course,https://oyc.yale.edu/economics/econ-251,2020-07-22 23:06:47.140716+00:00,2020-07-22
281,,Aswath Damodaran,Damodaran's blog,http://aswathdamodaran.blogspot.com/,2020-07-22 23:06:47.163654+00:00,2020-07-22
282,,Josh Brown,Josh's Blog,https://thereformedbroker.com/,2020-07-22 23:06:47.186592+00:00,2020-07-22
283,,Michael Mauboussin,Michael's research papers,https://drive.google.com/drive/folders/1z7-wp4S5r4AaYOvmjaA1Vxcfq3IwDPQL?usp=drive_open,2020-07-22 23:06:47.209531+00:00,2020-07-22
284,,Warren Buffet,All Warren Buffet writings,https://t.co/hlCWrbFVRj?ssr=true,2020-07-22 23:06:47.234464+00:00,2020-07-22
285,,James Clear,Amazing Speeches,https://jamesclear.com/great-speeches,2020-07-22 23:06:47.261392+00:00,2020-07-22
286,,Chris Dixon,Chris's Blog,https://cdixon.org/blog/2,2020-07-22 23:06:47.282336+00:00,2020-07-22
287,,Eugene Wei,Eugene's Blog,https://www.eugenewei.com/,2020-07-22 23:06:47.304277+00:00,2020-07-22
288,,Matthew Clifford,Matthew's Blog,https://medium.com/@matthewclifford,2020-07-22 23:06:47.328214+00:00,2020-07-22
289,,Youtube Guy,Free video VBA course,https://www.youtube.com/channel/UC7Iuuzc5sK1ZwcIBxiNQJfQ,2020-07-22 23:06:47.350155+00:00,2020-07-22
290,,Federal Reserve,U.S Household Wealth Data,https://www.federalreserve.gov/apps/fof/DisplayTable.aspx?t=b.101.h,2020-07-22 23:06:47.373094+00:00,2020-07-22
291,,UCI,Machine learning data sets,https://archive.ics.uci.edu/ml/index.php,2020-07-22 23:06:47.396032+00:00,2020-07-22
292,,Learn Razor Pages,Razor Pages Tutorial,https://www.learnrazorpages.com/,2020-07-22 23:06:47.418971+00:00,2020-07-22
293,,Kudvenkat,Razor Pages Video Tutorials,https://www.youtube.com/watch?v=3F9SpUYTB6Y&list=PL6n9fhu94yhX6J31qad0wSO1N_rgGbOPV&index=1,2020-07-22 23:06:47.440912+00:00,2020-07-22
294,,Tim Corey,C# Tutorials,https://www.youtube.com/channel/UC-ptWR16ITQyYOglXyQmpzw,2020-07-22 23:06:47.462853+00:00,2020-07-22
295,,Bootstrap,Bootstrap Documentation: The best documentation I've ever seen.,https://getbootstrap.com/,2020-07-22 23:06:47.485792+00:00,2020-07-22
296,,Beautiful Soup,Beautiful Soup Documentation,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,2020-07-22 23:06:47.507733+00:00,2020-07-22
