id,book_title,slug,author,cover_description,body,image_name,created,updated
3,A Demon of Our Own Design: Markets; Hedge Funds; and the Perils of Financial Innovation,demon-our-own-design-markets-hedge-funds-and-perils-financial-innovation,Bookstaber; Richard,cover description,long descp,ADemonOfOurOwnDesign.jpg,2020-07-16 23:14:27.981565+00:00,2020-07-16
4,50 Economics Classics: Your shortcut to the most important ideas on capitalism; finance; and the global economy,50EconomicsClassicsYourshortcuttothemostimportantideasoncapitalismfinanceandtheglobaleconomy,Butler-Bowdon; Tom,Brief description entered here,long descp,50EconomicsClassics.jpg,2020-07-20 22:35:38.614974+00:00,2020-07-20
5,Adam Smith: Father of Economics,AdamSmithFatherofEconomics,Norman; Jesse,Brief description entered here,long descp,AdamSmithFatherOfEconomics.jpg,2020-07-20 22:35:59.831170+00:00,2020-07-20
6,Against the Gods: The Remarkable Story of Risk,against-gods-remarkable-story-risk,Bernstein; Peter L.,Brief description entered here,long descp,AgainstTheGods.jpg,2020-07-20 22:35:59.837159+00:00,2020-07-20
7,The Age of Turbulence: Adventures in a New World,TheAgeofTurbulenceAdventuresinaNewWorld,Greenspan; Alan,The Maestro was actually like really smart.,long descp,AgeOfTurbulence.jpg,2020-07-20 22:35:59.842145+00:00,2020-07-20
8,All the Devils are Here: The Hidden History of the Financial Crisis,AlltheDevilsareHereTheHiddenHistoryoftheFinancialCrisis,McLean; Bethany,Brief description entered here,long descp,AllTheDevilsAreHere.jpg,2020-07-20 22:35:59.848129+00:00,2020-07-20
9,A Man for All Markets,AManforAllMarkets,Thorp; Edward O.,Thorp is cray,long descp,AManForAllMarkets.jpg,2020-07-20 22:35:59.853114+00:00,2020-07-20
10,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,AmericanSniperTheAutobiographyoftheMostLethalSniperinU.S.MilitaryHistory,Kyle; Chris,Brief description entered here,long descp,AmericanSniper.jpg,2020-07-20 22:35:59.859098+00:00,2020-07-20
11,Antifragile: Things That Gain from Disorder,AntifragileThingsThatGainfromDisorder,Taleb; Nassim Nicholas ,Taleb will tear you wide open. Also change you're world view,long descp,AntiFragile.jpg,2020-07-20 22:35:59.864087+00:00,2020-07-20
12,A Random Walk Down Wall Street,ARandomWalkDownWallStreet,Malkiel; Burton G.,Brief description entered here,long descp,ARandomWalkDownWallStreet.jpg,2020-07-20 22:35:59.870070+00:00,2020-07-20
13,A Slave No More: Two Men Who Escaped to Freedom; Including Their Own Narratives of Emancipation,ASlaveNoMoreTwoMenWhoEscapedtoFreedomIncludingTheirOwnNarrativesofEmancipation,Blight; David W.,Brief description entered here,long descp,ASlaveNoMore.jpg,2020-07-20 22:35:59.876053+00:00,2020-07-20
14,A Song of Ice and Fire,ASongofIceandFire,Martin; George R.R.,Brief description entered here,long descp,ASOIAF.jpg,2020-07-20 22:35:59.881040+00:00,2020-07-20
15,A Splendid Exchange: How Trade Shaped the World from Prehistory to Today,ASplendidExchangeHowTradeShapedtheWorldfromPrehistorytoToday,Bernstein; William J.,Brief description entered here,long descp,ASplendidExchange.jpg,2020-07-20 22:35:59.891014+00:00,2020-07-20
16,Behave: The Biology of Humans at Our Best and Worst,BehaveTheBiologyofHumansatOurBestandWorst,Sapolsky; Robert M.,Brief description entered here,long descp,Behave.jpg,2020-07-20 22:35:59.900986+00:00,2020-07-20
17,Benjamin Franklin: An American Life,BenjaminFranklinAnAmericanLife,Isaacson; Walter ,Brief description entered here,long descp,BenFranklin.jpg,2020-07-20 22:35:59.918938+00:00,2020-07-20
18,The Autobiography of Benjamin Franklin,TheAutobiographyofBenjaminFranklin,Franklin; Benjamin,Brief description entered here,long descp,BenFranklinAutoBiography.jpg,2020-07-20 22:35:59.923925+00:00,2020-07-20
19,The Big Short: Inside the Doomsday Machine,TheBigShortInsidetheDoomsdayMachine,Lewis; Michael,Brief description entered here,long descp,BigShort.jpg,2020-07-20 22:35:59.928912+00:00,2020-07-20
20,Death by Black Hole: And Other Cosmic Quandaries,DeathbyBlackHoleAndOtherCosmicQuandaries,Tyson; Neil deGrasse ,Brief description entered here,long descp,BlackSwan.jpg,2020-07-20 22:35:59.934895+00:00,2020-07-20
21,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,TheBlindWatchmakerWhytheEvidenceofEvolutionRevealsaUniverseWithoutDesign,Dawkins; Richard ,Brief description entered here,long descp,BlindWatchmaker.jpg,2020-07-20 22:35:59.940880+00:00,2020-07-20
